db,policy_set,baseline,query_id,status,cold_ms,hot_ms,hot_peak_rss_kb,count,count_err,error_type,error_msg,policy_profile_lines,policy_ms,executor_ms,scan_mode,setup_ms,pre_run_memory_building_ms,disk_bytes
tpch0_1,S_E,ours,6,1,121.28154514357448,90.83404392004013,162572,1,,,,1,,,,1766.9017068110406,1703.482876997441,20817794
tpch0_1,S_E,ours,10,1,181.4093291759491,151.35937882587314,187428,2874,,,,1,,,,1766.9017068110406,1703.482876997441,20817794
tpch0_1,S_E,ours,11,1,31.0064977966249,30.60529287904501,26508,0,,,,1,,,,1766.9017068110406,1703.482876997441,20817794
tpch0_1,S_F,rls_index,1,1,1777.8764772228897,1717.190503142774,155640,4,,,,0,,,,5004.547875840217,4930.627154186368,108052480
tpch0_1,S_F,rls_index,3,1,30.809578020125628,30.402823816984892,64488,0,,,,0,,,,5004.547875840217,4930.627154186368,108052480
tpch0_1,S_F,rls_index,6,1,1205.3387085907161,1175.0694480724633,150080,1,,,,0,,,,5004.547875840217,4930.627154186368,108052480
tpch0_1,S_F,rls_index,10,1,30.917947180569172,30.73447197675705,64476,0,,,,0,,,,5004.547875840217,4930.627154186368,108052480
tpch0_1,S_F,rls_index,11,1,30.662717297673225,30.45182814821601,26252,0,,,,0,,,,5004.547875840217,4930.627154186368,108052480
tpch0_1,S_F,ours,1,1,1356.6599846817553,1265.8027773723006,280108,4,,,,1,,,,5023.285584058613,4959.920649882406,55108374
tpch0_1,S_F,ours,3,1,603.5907859914005,542.8486461751163,211460,0,,,,1,,,,5023.285584058613,4959.920649882406,55108374
tpch0_1,S_F,ours,6,1,513.0543620325625,452.4951120838523,282080,1,,,,1,,,,5023.285584058613,4959.920649882406,55108374
tpch0_1,S_F,ours,10,1,543.2135951705277,482.59319784119725,209052,0,,,,1,,,,5023.285584058613,4959.920649882406,55108374
tpch0_1,S_F,ours,11,1,241.9501799158752,211.5299990400672,110656,0,,,,1,,,,5023.285584058613,4959.920649882406,55108374
tpch0_1,S_G,rls_index,1,1,3193.311547860503,3132.7042090706527,154484,3,,,,0,,,,5049.763598944992,4970.612202305347,97665024
tpch0_1,S_G,rls_index,3,1,30.928752850741148,30.615900177508593,23628,0,,,,0,,,,5049.763598944992,4970.612202305347,97665024
tpch0_1,S_G,rls_index,6,1,2169.0435418859124,2168.8182540237904,152700,1,,,,0,,,,5049.763598944992,4970.612202305347,97665024
tpch0_1,S_G,rls_index,10,1,30.80782713368535,30.57933086529374,33404,0,,,,0,,,,5049.763598944992,4970.612202305347,97665024
tpch0_1,S_G,rls_index,11,1,30.618419870734215,30.415251851081848,26320,0,,,,0,,,,5049.763598944992,4970.612202305347,97665024
tpch0_1,S_G,ours,1,1,3073.718057014048,2952.732387930155,278692,4,,,,1,,,,5618.771865032613,5554.352729115635,61047020
tpch0_1,S_G,ours,3,1,1989.328830037266,1929.0898609906435,197584,0,,,,1,,,,5618.771865032613,5554.352729115635,61047020
tpch0_1,S_G,ours,6,1,1868.7581908889115,1808.1275639124215,278744,1,,,,1,,,,5618.771865032613,5554.352729115635,61047020
tpch0_1,S_G,ours,10,1,1868.8544356264174,1808.1605611369014,196176,0,,,,1,,,,5618.771865032613,5554.352729115635,61047020
tpch0_1,S_G,ours,11,1,1356.9168192334473,1296.1613149382174,116116,0,,,,1,,,,5618.771865032613,5554.352729115635,61047020
