db,baseline,query_id,policy_set_name,policy_ids,num_policies,query_complexity,policy_complexity,cold_ms,hot_ms,correctness,mem_overhead_kb,status,error_type,error_msg,pre_run_memory_building_ms
tpch0_1,sieve,1,21-30,"21,22,23,24,25,26,27,28,29,30",10,4,8,,,UNKNOWN,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=tpch0_1 [pg_hygiene] FAIL connect db=tpch0_1 err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
tpch0_1,sieve,3,21-30,"21,22,23,24,25,26,27,28,29,30",10,8,4,,,UNKNOWN,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=tpch0_1 [pg_hygiene] FAIL connect db=tpch0_1 err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
tpch0_1,sieve,6,21-30,"21,22,23,24,25,26,27,28,29,30",10,6,8,,,UNKNOWN,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=tpch0_1 [pg_hygiene] FAIL connect db=tpch0_1 err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
tpch0_1,sieve,13,21-30,"21,22,23,24,25,26,27,28,29,30",10,6,6,,,UNKNOWN,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=tpch0_1 [pg_hygiene] FAIL connect db=tpch0_1 err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
tpch0_1,sieve,22,21-30,"21,22,23,24,25,26,27,28,29,30",10,9,6,,,UNKNOWN,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=tpch0_1 [pg_hygiene] FAIL connect db=tpch0_1 err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
tpch0_1,sieve_index,1,21-30,"21,22,23,24,25,26,27,28,29,30",10,4,8,,,UNKNOWN,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=tpch0_1 [pg_hygiene] FAIL connect db=tpch0_1 err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
tpch0_1,sieve_index,3,21-30,"21,22,23,24,25,26,27,28,29,30",10,8,4,,,UNKNOWN,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=tpch0_1 [pg_hygiene] FAIL connect db=tpch0_1 err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
tpch0_1,sieve_index,6,21-30,"21,22,23,24,25,26,27,28,29,30",10,6,8,,,UNKNOWN,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=tpch0_1 [pg_hygiene] FAIL connect db=tpch0_1 err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
tpch0_1,sieve_index,13,21-30,"21,22,23,24,25,26,27,28,29,30",10,6,6,,,UNKNOWN,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=tpch0_1 [pg_hygiene] FAIL connect db=tpch0_1 err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
tpch0_1,sieve_index,22,21-30,"21,22,23,24,25,26,27,28,29,30",10,9,6,,,UNKNOWN,,0,setup_error,"db_hygiene_failed: [pg_hygiene] connecting db=tpch0_1 [pg_hygiene] FAIL connect db=tpch0_1 err=connection to server at ""localhost"" (127.0.0.1), port 5432 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections?",0.000
