db,policy_set,baseline,query_id,status,cold_ms,hot_ms,hot_peak_rss_kb,count,count_err,error_type,error_msg,policy_profile_lines,policy_ms,executor_ms,scan_mode,setup_ms,pre_run_memory_building_ms,disk_bytes
tpch0_1,S_B,ours,3,0,121.49542942643166,0.0,0,1153,,db_error,ERROR:  policy: column not found in artifacts: lineitem.l_shipdate,0,,,,3178.344768937677,3115.479378029704,30601996
tpch0_1,S_B,ours,6,0,31.18082694709301,0.0,0,1,,db_error,ERROR:  policy: column not found in artifacts: lineitem.l_shipdate,0,,,,3178.344768937677,3115.479378029704,30601996
tpch0_1,S_B,ours,10,1,302.1113481372595,271.7563039623201,101716,0,,,,1,,,,3178.344768937677,3115.479378029704,30601996
tpch0_1,S_B,ours,11,1,61.30691198632121,31.068770214915276,42832,2753,,,,0,,,,3178.344768937677,3115.479378029704,30601996
tpch0_1,S_C,rls_index,1,1,1416.204181034118,1356.0985629446805,148792,4,,,,0,,,,1988.000581972301,1916.946197859943,28426240
tpch0_1,S_C,rls_index,3,1,151.23483119532466,150.92537086457014,106312,39,,,,0,,,,1988.000581972301,1916.946197859943,28426240
tpch0_1,S_C,rls_index,6,1,693.25250107795,662.9733559675515,149184,1,,,,0,,,,1988.000581972301,1916.946197859943,28426240
tpch0_1,S_C,rls_index,10,1,361.9388258084655,331.63084415718913,123444,461,,,,0,,,,1988.000581972301,1916.946197859943,28426240
tpch0_1,S_C,rls_index,11,1,60.79075392335653,30.56669794023037,37476,2753,,,,0,,,,1988.000581972301,1916.946197859943,28426240
tpch0_1,S_C,ours,1,0,31.256205402314663,0.0,0,4,,db_error,ERROR:  policy: column not found in artifacts: lineitem.l_shipdate,0,,,,1895.2425559982657,1832.7134000137448,24229450
tpch0_1,S_C,ours,3,0,31.27159597352147,0.0,0,1153,,db_error,ERROR:  policy: column not found in artifacts: orders.o_orderdate,0,,,,1895.2425559982657,1832.7134000137448,24229450
tpch0_1,S_C,ours,6,0,31.16215579211712,0.0,0,1,,db_error,ERROR:  policy: column not found in artifacts: lineitem.l_shipdate,0,,,,1895.2425559982657,1832.7134000137448,24229450
tpch0_1,S_C,ours,10,0,31.123113818466663,0.0,0,3845,,db_error,ERROR:  policy: column not found in artifacts: orders.o_orderdate,0,,,,1895.2425559982657,1832.7134000137448,24229450
tpch0_1,S_C,ours,11,1,31.110906042158604,30.81771405413747,65968,2753,,,,0,,,,1895.2425559982657,1832.7134000137448,24229450
tpch0_1,S_D,rls_index,1,1,3163.2235273718834,3102.8950260952115,150024,4,,,,0,,,,4086.2479978241026,4008.0560189671814,73252864
tpch0_1,S_D,rls_index,3,1,151.1522838845849,150.9764981456101,108664,0,,,,0,,,,4086.2479978241026,4008.0560189671814,73252864
tpch0_1,S_D,rls_index,6,1,1807.4882691726089,1777.3430491797626,153440,1,,,,0,,,,4086.2479978241026,4008.0560189671814,73252864
tpch0_1,S_D,rls_index,10,1,392.01117027550936,361.7146881297231,122136,49,,,,0,,,,4086.2479978241026,4008.0560189671814,73252864
tpch0_1,S_D,rls_index,11,1,30.684854835271835,30.548438895493746,22128,0,,,,0,,,,4086.2479978241026,4008.0560189671814,73252864
tpch0_1,S_D,ours,1,0,61.76669197157025,0.0,0,4,,db_error,ERROR:  policy: column not found in artifacts: lineitem.l_shipdate,0,,,,3896.8120021745563,3834.2446833848953,43554897
tpch0_1,S_D,ours,3,0,61.504364013671875,0.0,0,1153,,db_error,ERROR:  policy: column not found in artifacts: orders.o_orderdate,0,,,,3896.8120021745563,3834.2446833848953,43554897
tpch0_1,S_D,ours,6,0,61.497116927057505,0.0,0,1,,db_error,ERROR:  policy: column not found in artifacts: lineitem.l_shipdate,0,,,,3896.8120021745563,3834.2446833848953,43554897
tpch0_1,S_D,ours,10,0,61.456115916371346,0.0,0,3845,,db_error,ERROR:  policy: column not found in artifacts: orders.o_orderdate,0,,,,3896.8120021745563,3834.2446833848953,43554897
tpch0_1,S_D,ours,11,1,31.35836496949196,30.94694297760725,29612,0,,,,1,,,,3896.8120021745563,3834.2446833848953,43554897
tpch0_1,S_E,rls_index,1,1,482.44379507377744,482.0854151621461,108996,4,,,,0,,,,3446.7896269634366,3379.7085019759834,60514304
tpch0_1,S_E,rls_index,3,1,181.16811802610755,181.01487029343843,149232,1061,,,,0,,,,3446.7896269634366,3379.7085019759834,60514304
tpch0_1,S_E,rls_index,6,1,151.07938600704074,150.82731703296304,135676,1,,,,0,,,,3446.7896269634366,3379.7085019759834,60514304
tpch0_1,S_E,rls_index,10,1,120.88617263361812,93.82584830746055,150672,2874,,,,0,,,,3446.7896269634366,3379.7085019759834,60514304
