baseline,K,query_id,trial_type,trial_idx,elapsed_ms,mem_peak_mb,mem_delta_mb,status,error_type,error_msg
rls_no_index,5,5,hot,3,121.816,17.961,1.531,ok,,
rls_no_index,5,5,hot,4,121.592,17.742,1.312,ok,,
rls_no_index,5,5,hot,5,121.558,19.492,3.062,ok,,
rls_no_index,5,6,cold,0,120.673,17.742,1.750,ok,,
rls_no_index,5,6,hot,1,101.239,17.742,1.531,ok,,
rls_no_index,5,6,hot,2,121.379,22.336,6.125,ok,,
rls_no_index,5,6,hot,3,141.838,20.367,3.938,ok,,
rls_no_index,5,6,hot,4,121.534,17.961,1.531,ok,,
rls_no_index,5,6,hot,5,101.211,17.961,1.531,ok,,
rls_no_index,5,7,cold,0,20.266,16.184,0.000,ok,,
rls_no_index,5,7,hot,1,20.317,15.773,0.000,ok,,
rls_no_index,5,7,hot,2,40.580,44.867,28.438,ok,,
rls_no_index,5,7,hot,3,40.298,38.961,22.750,ok,,
rls_no_index,5,7,hot,4,40.615,41.805,25.375,ok,,
rls_no_index,5,7,hot,5,40.761,41.586,25.375,ok,,
rls_no_index,5,8,cold,0,910.758,52.305,35.875,ok,,
rls_no_index,5,8,hot,1,910.884,52.742,36.531,ok,,
rls_no_index,5,8,hot,2,910.296,52.961,36.531,ok,,
rls_no_index,5,8,hot,3,950.204,53.398,36.969,ok,,
rls_no_index,5,8,hot,4,910.797,53.836,37.625,ok,,
rls_no_index,5,8,hot,5,890.626,53.398,37.188,ok,,
nopolicy,10,1,cold,0,20.372,16.211,0.000,ok,,
nopolicy,10,1,hot,1,20.429,16.211,0.000,ok,,
nopolicy,10,1,hot,2,20.439,16.211,0.000,ok,,
nopolicy,10,1,hot,3,20.251,16.211,0.000,ok,,
nopolicy,10,1,hot,4,20.369,16.430,0.219,ok,,
nopolicy,10,1,hot,5,20.423,16.648,0.000,ok,,
nopolicy,10,2,cold,0,20.434,16.430,0.219,ok,,
nopolicy,10,2,hot,1,20.444,16.430,0.000,ok,,
nopolicy,10,2,hot,2,20.386,16.430,0.219,ok,,
nopolicy,10,2,hot,3,20.607,16.211,0.000,ok,,
nopolicy,10,2,hot,4,20.441,16.211,0.000,ok,,
nopolicy,10,2,hot,5,20.492,16.211,0.000,ok,,
nopolicy,10,3,cold,0,20.431,16.430,0.000,ok,,
nopolicy,10,3,hot,1,20.463,16.430,0.000,ok,,
nopolicy,10,3,hot,2,20.393,16.211,0.000,ok,,
nopolicy,10,3,hot,3,20.456,16.430,0.000,ok,,
nopolicy,10,3,hot,4,20.442,16.430,0.219,ok,,
nopolicy,10,3,hot,5,20.592,16.211,0.000,ok,,
nopolicy,10,4,cold,0,20.430,16.211,0.000,ok,,
nopolicy,10,4,hot,1,20.388,16.211,0.000,ok,,
nopolicy,10,4,hot,2,20.427,16.648,0.438,ok,,
nopolicy,10,4,hot,3,20.458,16.430,0.000,ok,,
nopolicy,10,4,hot,4,20.577,16.211,0.000,ok,,
nopolicy,10,4,hot,5,20.553,16.211,0.000,ok,,
nopolicy,10,5,cold,0,61.236,17.742,1.531,ok,,
nopolicy,10,5,hot,1,60.788,17.742,1.531,ok,,
nopolicy,10,5,hot,2,60.866,17.742,1.531,ok,,
nopolicy,10,5,hot,3,60.871,17.305,1.531,ok,,
nopolicy,10,5,hot,4,60.791,17.523,1.312,ok,,
nopolicy,10,5,hot,5,60.947,17.742,1.531,ok,,
nopolicy,10,6,cold,0,60.782,17.961,1.531,ok,,
nopolicy,10,6,hot,1,60.864,17.742,1.531,ok,,
nopolicy,10,6,hot,2,60.699,17.742,1.531,ok,,
nopolicy,10,6,hot,3,81.061,26.930,10.719,ok,,
nopolicy,10,6,hot,4,81.113,22.773,6.344,ok,,
nopolicy,10,6,hot,5,60.870,17.742,1.531,ok,,
nopolicy,10,7,cold,0,20.245,16.430,0.219,ok,,
nopolicy,10,7,hot,1,40.682,22.336,6.125,ok,,
nopolicy,10,7,hot,2,40.867,21.680,5.250,ok,,
nopolicy,10,7,hot,3,40.753,22.117,5.688,ok,,
nopolicy,10,7,hot,4,20.360,15.992,0.000,ok,,
nopolicy,10,7,hot,5,40.691,22.555,6.125,ok,,
nopolicy,10,8,cold,0,81.131,58.867,42.656,ok,,
nopolicy,10,8,hot,1,81.042,60.398,44.188,ok,,
nopolicy,10,8,hot,2,81.097,59.523,43.312,ok,,
nopolicy,10,8,hot,3,81.174,59.523,43.094,ok,,
nopolicy,10,8,hot,4,81.187,58.430,42.000,ok,,
nopolicy,10,8,hot,5,80.664,59.086,42.875,ok,,
ours,10,1,cold,0,40.241,39.598,16.605,ok,,
ours,10,1,hot,1,40.273,39.867,17.094,ok,,
ours,10,1,hot,2,40.458,39.285,16.512,ok,,
ours,10,1,hot,3,40.424,39.094,16.320,ok,,
ours,10,1,hot,4,60.862,39.801,17.246,ok,,
ours,10,1,hot,5,60.727,39.566,17.012,ok,,
ours,10,2,cold,0,40.628,39.562,17.008,ok,,
ours,10,2,hot,1,40.560,35.461,12.469,ok,,
ours,10,2,hot,2,40.593,38.328,15.336,ok,,
ours,10,2,hot,3,40.643,38.504,15.730,ok,,
ours,10,2,hot,4,40.621,29.438,6.883,ok,,
ours,10,2,hot,5,40.470,39.910,16.918,ok,,
ours,10,3,cold,0,20.454,22.555,0.000,ok,,
ours,10,3,hot,1,20.186,22.719,0.000,ok,,
ours,10,3,hot,2,20.420,22.992,0.219,ok,,
ours,10,3,hot,3,20.414,22.992,0.000,ok,,
ours,10,3,hot,4,20.437,22.773,0.000,ok,,
ours,10,3,hot,5,20.613,22.773,0.219,ok,,
ours,10,4,cold,0,40.630,45.086,22.312,ok,,
ours,10,4,hot,1,20.402,22.773,0.000,ok,,
ours,10,4,hot,2,20.308,23.211,0.219,ok,,
ours,10,4,hot,3,20.423,22.992,0.219,ok,,
ours,10,4,hot,4,20.306,22.992,0.219,ok,,
ours,10,4,hot,5,20.440,22.992,0.219,ok,,
ours,10,5,cold,0,283.976,120.148,97.594,ok,,
ours,10,5,hot,1,283.947,119.898,97.125,ok,,
ours,10,5,hot,2,283.640,119.777,96.785,ok,,
ours,10,5,hot,3,283.556,119.883,97.109,ok,,
ours,10,5,hot,4,283.710,119.781,97.227,ok,,
ours,10,5,hot,5,283.828,120.125,97.133,ok,,
ours,10,6,cold,0,283.538,119.750,96.977,ok,,
ours,10,6,hot,1,283.860,119.715,96.723,ok,,
ours,10,6,hot,2,283.663,119.832,97.059,ok,,
ours,10,6,hot,3,283.635,119.605,97.051,ok,,
ours,10,6,hot,4,283.829,119.898,97.125,ok,,
ours,10,6,hot,5,283.893,119.965,96.973,ok,,
ours,10,7,cold,0,40.545,40.148,17.156,ok,,
ours,10,7,hot,1,40.608,40.070,17.297,ok,,
ours,10,7,hot,2,40.561,39.000,16.227,ok,,
ours,10,7,hot,3,40.256,38.664,16.109,ok,,
ours,10,7,hot,4,40.549,38.879,16.324,ok,,
ours,10,7,hot,5,40.558,39.469,16.695,ok,,
