db,policy_set,policy_ids,query_id,rls_hot_ms,ours_hot_ms,speedup_rls_over_ours,rls_peak_rss_kb,ours_peak_rss_kb,rss_ratio_rls_over_ours,rls_status,ours_status
tpch0_1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",6,2168.936,2169.414,1.000,153020,326756,0.468,1,1
tpch1,S_A,"1,2,3,4,5",1,1747.274,3343.960,0.523,174588,669212,0.261,1,1
tpch1,S_A,"1,2,3,4,5",10,1446.634,3258.187,0.444,190056,663064,0.287,1,1
tpch1,S_A,"1,2,3,4,5",11,294.750,294.493,1.001,29464,38340,0.768,1,1
tpch1,S_A,"1,2,3,4,5",13,1054.564,1054.708,1.000,72424,158584,0.457,1,1
tpch1,S_A,"1,2,3,4,5",22,331.578,331.822,0.999,58352,144600,0.404,1,1
tpch1,S_A,"1,2,3,4,5",3,1295.720,3103.216,0.418,175276,676432,0.259,1,1
tpch1,S_A,"1,2,3,4,5",6,632.961,2922.291,0.217,149560,668880,0.224,1,1
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",1,1747.790,3344.247,0.523,174248,669212,0.260,1,1
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",10,1325.704,3163.320,0.419,190260,687352,0.277,1,1
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",11,294.297,296.807,0.992,29132,41432,0.703,1,1
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",13,30.491,693.433,0.044,73792,163048,0.453,1,1
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",22,30.368,693.504,0.044,73768,161432,0.457,1,1
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",3,60.573,3103.630,0.020,42744,690264,0.062,1,1
tpch1,S_B,"1,2,3,4,5,6,7,8,9,10",6,633.112,2952.587,0.214,149260,668872,0.223,1,1
tpch1,S_C,"11,12,13,14,15",1,15120.852,1657.382,9.123,155484,700552,0.222,1,1
tpch1,S_C,"11,12,13,14,15",10,5211.880,1627.273,3.203,161212,725760,0.222,1,1
tpch1,S_C,"11,12,13,14,15",11,294.655,294.850,0.999,30020,42600,0.705,1,1
tpch1,S_C,"11,12,13,14,15",13,8012.275,392.103,20.434,162264,221892,0.731,1,1
tpch1,S_C,"11,12,13,14,15",22,1114.880,422.258,2.640,152976,230456,0.664,1,1
tpch1,S_C,"11,12,13,14,15",3,1837.955,1627.302,1.129,151392,701700,0.216,1,1
tpch1,S_C,"11,12,13,14,15",6,7108.867,1657.362,4.289,150716,701448,0.215,1,1
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",1,34396.985,5754.571,5.977,153664,1228820,0.125,1,1
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",10,5543.201,5724.032,0.968,163952,1227992,0.134,1,1
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",11,30.621,708.910,0.043,18520,77248,0.240,1,1
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",13,8012.439,392.358,20.421,162596,219360,0.741,1,1
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",22,1115.215,422.511,2.639,152448,218716,0.697,1,1
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",3,1838.099,5785.175,0.318,154428,1229544,0.126,1,1
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",6,19276.590,5844.570,3.298,153740,1228480,0.125,1,1
tpch1,S_E,"21,22,23,24,25",1,4698.695,7469.858,0.629,27784,494028,0.056,1,1
tpch1,S_E,"21,22,23,24,25",10,1487.312,2506.079,0.593,177388,513360,0.346,1,1
tpch1,S_E,"21,22,23,24,25",11,30.448,693.543,0.044,19092,68652,0.278,1,1
tpch1,S_E,"21,22,23,24,25",13,1054.459,1055.063,0.999,80844,91408,0.884,1,1
tpch1,S_E,"21,22,23,24,25",22,331.659,331.909,0.999,68008,78752,0.864,1,1
tpch1,S_E,"21,22,23,24,25",3,1790.332,3358.680,0.533,79652,499524,0.159,1,1
tpch1,S_E,"21,22,23,24,25",6,1235.080,1717.690,0.719,30328,507276,0.060,1,1
tpch1,S_F,"21,22,23,24,25,26,27,28,29,30",1,24187.139,12892.746,1.876,155764,1766704,0.088,1,1
tpch1,S_F,"21,22,23,24,25,26,27,28,29,30",10,120.938,7928.691,0.015,145952,1572844,0.093,1,1
tpch1,S_F,"21,22,23,24,25,26,27,28,29,30",11,30.423,2963.034,0.010,22168,693212,0.032,1,1
tpch1,S_F,"21,22,23,24,25,26,27,28,29,30",13,211.013,1476.448,0.143,146688,102484,1.431,1,1
tpch1,S_F,"21,22,23,24,25,26,27,28,29,30",22,120.897,693.263,0.174,134192,100256,1.338,1,1
tpch1,S_F,"21,22,23,24,25,26,27,28,29,30",3,120.715,8947.386,0.013,93128,1663656,0.056,1,1
tpch1,S_F,"21,22,23,24,25,26,27,28,29,30",6,36148.036,6386.747,5.660,149688,1460236,0.103,1,1
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",1,46357.380,27048.345,1.714,159392,2029188,0.079,1,1
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",10,30.716,17711.776,0.002,131712,1827864,0.072,1,1
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",11,30.445,12596.578,0.002,26832,811104,0.033,1,1
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",13,30.398,11446.313,0.003,134744,813424,0.166,1,1
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",22,30.405,11416.361,0.003,134640,811748,0.166,1,1
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",3,30.620,17320.082,0.002,21516,2028152,0.011,1,1
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",6,31567.861,18615.194,1.696,152680,1791996,0.085,1,1
