db,policy_set,policy_ids,query_id,baseline,status,error_type,error_msg,setup_ms,hot_ms,peak_rss_kb,parallelism_off_verified
tpch1,S_C,"11,12,13,14,15",6,ours,1,,,8566.477,1657.362,701448,true
tpch1,S_C,"11,12,13,14,15",10,ours,1,,,8566.477,1627.273,725760,true
tpch1,S_C,"11,12,13,14,15",11,ours,1,,,8566.477,294.850,42600,true
tpch1,S_C,"11,12,13,14,15",13,ours,1,,,8566.477,392.103,221892,true
tpch1,S_C,"11,12,13,14,15",22,ours,1,,,8566.477,422.258,230456,true
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",1,rls_index,1,,,46310.047,34396.985,153664,true
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",3,rls_index,1,,,46310.047,1838.099,154428,true
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",6,rls_index,1,,,46310.047,19276.590,153740,true
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",10,rls_index,1,,,46310.047,5543.201,163952,true
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",11,rls_index,1,,,46310.047,30.621,18520,true
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",13,rls_index,1,,,46310.047,8012.439,162596,true
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",22,rls_index,1,,,46310.047,1115.215,152448,true
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",1,ours,1,,,17856.907,5754.571,1228820,true
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",3,ours,1,,,17856.907,5785.175,1229544,true
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",6,ours,1,,,17856.907,5844.570,1228480,true
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",10,ours,1,,,17856.907,5724.032,1227992,true
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",11,ours,1,,,17856.907,708.910,77248,true
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",13,ours,1,,,17856.907,392.358,219360,true
tpch1,S_D,"11,12,13,14,15,16,17,18,19,20",22,ours,1,,,17856.907,422.511,218716,true
tpch1,S_E,"21,22,23,24,25",1,rls_index,1,,,39171.772,4698.695,27784,true
tpch1,S_E,"21,22,23,24,25",3,rls_index,1,,,39171.772,1790.332,79652,true
tpch1,S_E,"21,22,23,24,25",6,rls_index,1,,,39171.772,1235.080,30328,true
tpch1,S_E,"21,22,23,24,25",10,rls_index,1,,,39171.772,1487.312,177388,true
tpch1,S_E,"21,22,23,24,25",11,rls_index,1,,,39171.772,30.448,19092,true
tpch1,S_E,"21,22,23,24,25",13,rls_index,1,,,39171.772,1054.459,80844,true
tpch1,S_E,"21,22,23,24,25",22,rls_index,1,,,39171.772,331.659,68008,true
tpch1,S_E,"21,22,23,24,25",1,ours,1,,,7983.182,7469.858,494028,true
tpch1,S_E,"21,22,23,24,25",3,ours,1,,,7983.182,3358.680,499524,true
tpch1,S_E,"21,22,23,24,25",6,ours,1,,,7983.182,1717.690,507276,true
tpch1,S_E,"21,22,23,24,25",10,ours,1,,,7983.182,2506.079,513360,true
tpch1,S_E,"21,22,23,24,25",11,ours,1,,,7983.182,693.543,68652,true
tpch1,S_E,"21,22,23,24,25",13,ours,1,,,7983.182,1055.063,91408,true
tpch1,S_E,"21,22,23,24,25",22,ours,1,,,7983.182,331.909,78752,true
tpch1,S_F,"21,22,23,24,25,26,27,28,29,30",1,rls_index,1,,,57851.623,24187.139,155764,true
tpch1,S_F,"21,22,23,24,25,26,27,28,29,30",3,rls_index,1,,,57851.623,120.715,93128,true
tpch1,S_F,"21,22,23,24,25,26,27,28,29,30",6,rls_index,1,,,57851.623,36148.036,149688,true
tpch1,S_F,"21,22,23,24,25,26,27,28,29,30",10,rls_index,1,,,57851.623,120.938,145952,true
tpch1,S_F,"21,22,23,24,25,26,27,28,29,30",11,rls_index,1,,,57851.623,30.423,22168,true
tpch1,S_F,"21,22,23,24,25,26,27,28,29,30",13,rls_index,1,,,57851.623,211.013,146688,true
tpch1,S_F,"21,22,23,24,25,26,27,28,29,30",22,rls_index,1,,,57851.623,120.897,134192,true
tpch1,S_F,"21,22,23,24,25,26,27,28,29,30",1,ours,1,,,27553.286,12892.746,1766704,true
tpch1,S_F,"21,22,23,24,25,26,27,28,29,30",3,ours,1,,,27553.286,8947.386,1663656,true
tpch1,S_F,"21,22,23,24,25,26,27,28,29,30",6,ours,1,,,27553.286,6386.747,1460236,true
tpch1,S_F,"21,22,23,24,25,26,27,28,29,30",10,ours,1,,,27553.286,7928.691,1572844,true
tpch1,S_F,"21,22,23,24,25,26,27,28,29,30",11,ours,1,,,27553.286,2963.034,693212,true
tpch1,S_F,"21,22,23,24,25,26,27,28,29,30",13,ours,1,,,27553.286,1476.448,102484,true
tpch1,S_F,"21,22,23,24,25,26,27,28,29,30",22,ours,1,,,27553.286,693.263,100256,true
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",1,rls_index,1,,,58291.329,46357.380,159392,true
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",3,rls_index,1,,,58291.329,30.620,21516,true
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",6,rls_index,1,,,58291.329,31567.861,152680,true
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",10,rls_index,1,,,58291.329,30.716,131712,true
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",11,rls_index,1,,,58291.329,30.445,26832,true
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",13,rls_index,1,,,58291.329,30.398,134744,true
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",22,rls_index,1,,,58291.329,30.405,134640,true
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",1,ours,1,,,27313.907,27048.345,2029188,true
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",3,ours,1,,,27313.907,17320.082,2028152,true
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",6,ours,1,,,27313.907,18615.194,1791996,true
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",10,ours,1,,,27313.907,17711.776,1827864,true
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",11,ours,1,,,27313.907,12596.578,811104,true
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",13,ours,1,,,27313.907,11446.313,813424,true
tpch1,S_G,"5,6,7,8,9,10,11,12,13,14,15,25,26,27,28,29,30",22,ours,1,,,27313.907,11416.361,811748,true
